Title,Original Price,Current Price
Skull & Bones™,Full price was R$329.95R$329.95,Full price was R$329.95R$329.95Agora por R$221.06
Baldur's Gate 3,Full price was R$259.95R$259.95,Full price was R$259.95R$259.95Agora por R$233.95
Esquadrão Suicida: Mate a Liga da Justiça,Full price was R$299.99R$299.99,Full price was R$299.99R$299.99Agora por R$149.99
Call of Duty®: Modern Warfare® III - Pacote Multigeração,Full price was R$299.00R$299.00,Full price was R$299.00R$299.00Agora por R$194.35
Edição Standard do EA SPORTS FC™ 24 para Xbox One e Xbox Series X|S,Full price was R$359.00R$359.00,Full price was R$359.00R$359.00Agora por R$71.80
NBA 2K24 para Xbox Séries X|S,Full price was R$349.90R$349.90,Full price was R$349.90R$349.90Agora por R$69.98
The Elder Scrolls® Online,Full price was R$62.00R$62.00,Full price was R$62.00R$62.00Agora por R$15.50
Mortal Kombat™ 1,Full price was R$299.00R$299.00,Full price was R$299.00R$299.00Agora por R$149.50
Edição Deluxe de Prince of Persia™: The Lost Crown,Full price was R$299.95R$299.95,Full price was R$299.95R$299.95Agora por R$179.97
Diablo® IV - Edição Digital Deluxe,Full price was R$449.00R$449.00,Full price was R$449.00R$449.00Agora por R$224.50
DEAD ISLAND 2 GOLD EDITION,Full price was R$499.00R$499.00,Full price was R$499.00R$499.00NowR$249.50 com o GAME PASS 
Gang Beasts,Full price was R$39.00R$39.00,Full price was R$39.00R$39.00NowR$15.60 com o GAME PASS 
SnowRunner,Full price was R$214.95R$214.95,Full price was R$214.95R$214.95NowR$85.98 com o GAME PASS 
Among Us,Full price was R$18.45R$18.45,Full price was R$18.45R$18.45NowR$11.07 com o GAME PASS 
Insurgency: Sandstorm - Ultimate Edition,Full price was R$397.45R$397.45,Full price was R$397.45R$397.45NowR$298.08 com o GAME PASS 
True Survivors Bundle,Full price was R$297.45R$297.45,Full price was R$297.45R$297.45NowR$133.85 com o GAME PASS 
Exoprimal,Full price was R$279.00R$279.00,Full price was R$279.00R$279.00NowR$139.50 com o GAME PASS 
Exoprimal Deluxe Edition,Full price was R$336.00R$336.00,Full price was R$336.00R$336.00NowR$168.00 com o GAME PASS 
Kit de Início Avançado,Full price was R$72.00R$72.00,Full price was R$72.00R$72.00NowR$0.00 com o GAME PASS 
Kit de Sobrecarga 1,Full price was R$193.00R$193.00,Full price was R$193.00R$193.00NowR$173.70 com o GAME PASS 
