Title,Original Price,Current Price
Resident Evil 4 Gold Edition,Full price was R$245.00R$245.00,Full price was R$245.00R$245.00Agora por R$196.00
Edição Deluxe de Tales of Arise - Beyond the Dawn,Full price was R$399.50R$399.50,Full price was R$399.50R$399.50Agora por R$239.70
FINAL FANTASY XII THE ZODIAC AGE,Full price was R$219.00R$219.00,Full price was R$219.00R$219.00Agora por R$87.60
Persona 3 Reload Digital Deluxe Edition,Full price was R$399.50R$399.50,Full price was R$399.50R$399.50Agora por R$299.62
DYNASTY WARRIORS 9 Empires,Full price was R$319.00R$319.00,Full price was R$319.00R$319.00Agora por R$191.40
Call of Duty®: Modern Warfare® II - Pacote Multigeração,Full price was R$329.00R$329.00,Full price was R$329.00R$329.00Agora por R$164.50
Smalland: Survive the Wilds,Full price was R$129.95R$129.95,Full price was R$129.95R$129.95Agora por R$90.96
Endling - Extinction is Forever,Full price was R$139.95R$139.95,Full price was R$139.95R$139.95Agora por R$41.98
Ten Dates,Full price was R$59.95R$59.95,Full price was R$59.95R$59.95Agora por R$41.96
The Texas Chain Saw Massacre,Full price was R$147.45R$147.45,Full price was R$147.45R$147.45Agora por R$88.47
The Outlast Trials Deluxe Edition,Full price was R$184.95R$184.95,Full price was R$184.95R$184.95Agora por R$147.96
Cult of the Lamb,Full price was R$92.45R$92.45,Full price was R$92.45R$92.45Agora por R$55.47
Layers of Fear (2023),Full price was R$112.45R$112.45,Full price was R$112.45R$112.45Agora por R$73.09
Dead by Daylight,Full price was R$89.97R$89.97,Full price was R$89.97R$89.97Agora por R$44.98
Tomb Raider I-III Remastered Starring Lara Croft,Full price was R$112.45R$112.45,Full price was R$112.45R$112.45NowR$84.33 com o GAME PASS 
WWE 2K24 Edição Deluxe,Full price was R$499.50R$499.50,Full price was R$499.50R$499.50NowR$374.62 com o GAME PASS 
Lawn Mowing Simulator: Landmark Edition,Full price was R$79.99R$79.99,Full price was R$79.99R$79.99NowR$23.99 com o GAME PASS 
Aliens: Fireteam Elite Into The Hive Edition,Full price was R$214.95R$214.95,Full price was R$214.95R$214.95NowR$85.98 com o GAME PASS 
Lost Islands,Full price was R$139.95R$139.95,Full price was R$139.95R$139.95NowR$97.96 com o GAME PASS 
Dying Light: Enhanced Edition,Full price was R$99.95R$99.95,Full price was R$99.95R$99.95NowR$29.98 com o GAME PASS 
DEAD ISLAND 2 GOLD EDITION,Full price was R$499.00R$499.00,Full price was R$499.00R$499.00NowR$249.50 com o GAME PASS 
